127.0.0.1, 2017-04-01 17:10:43, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000621
127.0.0.1, 2017-04-01 17:10:43, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2017-04-01 17:10:43, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000923
127.0.0.1, 2017-04-01 17:10:43, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.001693
127.0.0.1, 2017-04-01 17:11:37, GET, /admin/default/peek/joinup/models/db.py, HTTP/1.1, 200, 0.034044
127.0.0.1, 2017-04-01 17:25:32, GET, /examples/default/index, HTTP/1.1, 200, 0.007726
127.0.0.1, 2017-04-01 17:25:47, GET, /examples/default/examples, HTTP/1.1, 200, 0.046249
127.0.0.1, 2017-04-01 17:25:50, GET, /examples/default/index, HTTP/1.1, 200, 0.006279
127.0.0.1, 2017-04-01 17:25:52, GET, /joinup/default/index, HTTP/1.1, 500, 0.079241
127.0.0.1, 2017-04-01 17:25:52, GET, /, HTTP/1.1, 303, 0.000525
127.0.0.1, 2017-04-01 17:25:56, GET, /admin/default/ticket/joinup/127.0.0.1.2017-04-01.17-25-52.21450af7-085a-43e0-9790-e59561e64a31, HTTP/1.1, 200, 0.051210
127.0.0.1, 2017-04-01 17:26:01, GET, /joinup/default/index, HTTP/1.1, 500, 0.028406
127.0.0.1, 2017-04-01 17:26:04, GET, /joinup/default/settings, HTTP/1.1, 500, 0.031960
127.0.0.1, 2017-04-01 17:26:08, GET, /admin/default/ticket/joinup/127.0.0.1.2017-04-01.17-26-04.a4955769-05e2-4cfe-8d76-5bbe70e67096, HTTP/1.1, 200, 0.050832
127.0.0.1, 2017-04-01 17:28:39, GET, /joinup/default/settings, HTTP/1.1, 500, 0.029638
127.0.0.1, 2017-04-01 17:28:40, GET, /joinup/default/settings, HTTP/1.1, 500, 0.031097
127.0.0.1, 2017-04-01 17:28:40, GET, /joinup/default/settings, HTTP/1.1, 500, 0.029450
127.0.0.1, 2017-04-01 17:28:41, GET, /joinup/default/settings, HTTP/1.1, 500, 0.030007
127.0.0.1, 2017-04-01 17:28:41, GET, /joinup/default/settings, HTTP/1.1, 500, 0.054429
127.0.0.1, 2017-04-01 17:28:43, GET, /admin/default/ticket/joinup/127.0.0.1.2017-04-01.17-28-41.a232486d-4131-4aca-a37f-d7001850689e, HTTP/1.1, 200, 0.042225
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/default/settings, HTTP/1.1, 200, 0.019017
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000351
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/js/web2py.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/css/calendar.css, HTTP/1.1, 200, 0.000627
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000741
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/js/calendar.js, HTTP/1.1, 200, 0.001228
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002573
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/js/jquery.js, HTTP/1.1, 200, 0.001611
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002782
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/js/share.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001168
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/images/twitter.png, HTTP/1.1, 200, 0.001068
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 200, 0.000927
127.0.0.1, 2017-04-01 17:29:00, GET, /joinup/static/images/facebook.png, HTTP/1.1, 200, 0.000818
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/default/settings, HTTP/1.1, 200, 0.021083
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000514
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/js/calendar.js, HTTP/1.1, 304, 0.000321
127.0.0.1, 2017-04-01 17:33:47, GET, /joinup/static/css/calendar.css, HTTP/1.1, 304, 0.001413
